user.Student,CHERN ,YCHERN,password,SCSE,false
user.Student,KOH ,KOH1,password,ADM,true
user.Student,BRANDON ,BR015,password,EEE,true
user.Student,CALVIN ,CT113,password,SCSE,false
user.Student,CHAN,YCN019,password,NBS,true
user.Student,DENISE,DL007,password,SCSE,true
user.Student,DONG,DON84,password,ADM,true
user.Student,ERNEST,ELI34,password,EEE,true
user.Student,LEE ,LE51,password,SCSE,true
user.Student,RAWAL,AKY013,password,SSS,true
user.Staff,Madhukumar,HUKUMAR,password,SCSE,true
user.Staff,Alexei ,OURIN,password,ADM,true
user.Staff,Chattopadhyay,UPAM,password,EEE,true
user.Staff,Datta,ANWIT,password,SCSE,true
user.Staff,Arvind ,ARVI,password,NBS,true
user.StudentCommittee,LIU ,SL22,password,NBS,false
